,0,1,2,3,4,5,6
0,,,,,,,Đơn Vị: VND
1,CHỈ TIÊU,"Mã
số","Thuyết
minh",Năm 2023,Năm 2022,Lũy kế từ đầu năm đến cuối quý này,
2,,,,Năm 2023,Năm 2022,Năm 2023,Năm 2022
3,1,01,15,117.820.468.237,113.681.141.991,117.820.468.237,113.681.141.991
4,2 Các khoản giảm trừ,02,,,,,
5,3 Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,117.820.468.237,113.681.141.991,117.820.468.237,113.681.141.991
6,,11,16,8.042.162.311,8.043.500.988,8.042.162.311,8.043.500.988
7,6 Doanh thu hoạt động tài chính,20,,109.778.305.926,105.637.641.003,109.778.305.926,105.637.641.003
8,6 Doanh thu hoạt động tài chính,21,17,2.298.635.929.418,1.470.106.911.789,2.298.635.929.418,1.470.106.911.789
9,Chi phi tài chính,22,18,73.544.889.236,55.316.088.983,73.544.889.236,55.316.088.983
10,Trong đó: chi phí lãi vay,23,,74.739.024.554,56.374.841.913,74.739.024.554,56.374.841.913
11,Chi phí bán hàng,25,,,6.077.584,,6.077.584
12,9 Chi phí quản lý doanh nghiệp,26,,158.354.520.628,284.308.983.174,158.354.520.628,284.308.983.174
13,10 Lợi nhuận thuần từ hoạt động kinh doanh,30,,2.176.514.825.480,1.236.113.403.051,2.176.514.825.480,1.236.113.403.051
14,11 Thu nhập khác,31,,,,,
15,12 Chi phí khác,32,,,,,
16,13 Lợi nhuận khác,40,,,,,
17,14 Tổng lợi nhuận kế toán trước thuế,50,,2.176.514.825.480,1.236.113.403.051,2.176.514.825.480,1.236.113.403.051
18,15 Chi phí thuế TNDN hiện hành,51,19,,,,
19,16 Chi phí thuế TNDN hoãn lại,52,,2.871.196.372,(27.103.160.210),2.871.196.372,(27.103.160.210)
20,17 Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,2.173.643.629.108,1.263.216.563.261,2.173.643.629.108,1.263.216.563.261
